trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
85,False,"{'a': 0.002, 'e': 0.8453538346846587}",25,0,-90.99382378761315,"{0: 17, 1: 4, 2: 1, 3: 2, 4: 1}",0
86,False,"{'a': 0.002, 'e': 0.8436648165963837}",25,0,-127.44841564473124,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
87,False,"{'a': 0.002, 'e': 0.8419791731684999}",20,0,-136.15467527505692,"{0: 9, 1: 5, 2: 4, 3: 0, 4: 2}",0
88,False,"{'a': 0.002, 'e': 0.8402968976584314}",20,0,-56.98651364590586,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
89,False,"{'a': 0.002, 'e': 0.838617983337074}",20,6,-82.03708642187915,"{0: 9, 1: 1, 2: 1, 3: 2, 4: 1}",1
90,False,"{'a': 0.002, 'e': 0.8369424234887681}",20,4,-19.91456623950225,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 0}",1
91,False,"{'a': 0.002, 'e': 0.835270211411272}",25,3,-139.9999544216149,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 2}",1
92,False,"{'a': 0.002, 'e': 0.8336013404157353}",25,0,-183.43976879720068,"{0: 15, 1: 2, 2: 3, 3: 2, 4: 3}",0
93,False,"{'a': 0.002, 'e': 0.8319358038266718}",35,0,-109.43956722279984,"{0: 24, 1: 2, 2: 7, 3: 1, 4: 1}",0
94,False,"{'a': 0.002, 'e': 0.8302735949819326}",25,0,-59.79451494900965,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
95,False,"{'a': 0.002, 'e': 0.8286147072326806}",30,10,-59.99788301380389,"{0: 14, 1: 4, 2: 0, 3: 1, 4: 1}",1
96,False,"{'a': 0.002, 'e': 0.8269591339433623}",25,8,-106.9967363101523,"{0: 12, 1: 0, 2: 1, 3: 2, 4: 2}",1
97,False,"{'a': 0.002, 'e': 0.8253068684916823}",20,0,-143.20392911816495,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
98,False,"{'a': 0.002, 'e': 0.8236579042685769}",25,0,-165.28820118846465,"{0: 16, 1: 0, 2: 6, 3: 0, 4: 3}",0
99,False,"{'a': 0.002, 'e': 0.8220122346781865}",30,0,-19.379761040785347,"{0: 25, 1: 1, 2: 3, 3: 1, 4: 0}",0
